PARTICIPANT BLOCK TRIAL EXTRACT TYPE RESPONSE
c9 main 12 KPS phase-click-early15 misaligned
c9 main 13 HSG phase-click-early15 misaligned
c9 main 14 SMA aligned aligned
c9 main 15 HTH phase-click-late15 misaligned
c9 main 16 HTH aligned misaligned
c9 main 17 KPS aligned aligned
c9 main 18 SMA aligned misaligned
c9 main 19 KPS aligned aligned
c9 main 20 ACL aligned aligned
c9 main 21 SMA aligned misaligned
c9 main 22 HTH aligned misaligned
c9 main 23 SMA aligned aligned
c9 main 24 ACL phase-click-early10 misaligned
c9 main 25 ACL aligned aligned
c9 main 26 KPS phase-click-late10 misaligned
c9 main 27 ACL aligned aligned
c9 main 28 HSG phase-click-late10 misaligned
c9 main 29 KPS phase-click-late15 misaligned
c9 main 30 HTH phase-click-early15 misaligned
c9 main 31 SMA phase-click-early10 misaligned
c9 main 32 ACL aligned aligned
c9 main 33 KPS phase-click-early10 misaligned
c9 main 34 KPS aligned aligned
c9 main 35 ACL phase-click-late15 misaligned
c9 main 36 HTH phase-click-late10 misaligned
c9 main 37 ACL phase-click-early15 misaligned
c9 main 38 HSG phase-click-late15 misaligned
c9 main 39 KPS aligned aligned
c9 main 40 HSG aligned aligned
c10 train 1 NYN aligned aligned
c10 train 2 OCJ aligned aligned
c10 train 3 NYN phase-click-late15 misaligned
c10 train 4 OCJ phase-click-early15 misaligned
c10 main 1 SMA phase-click-early15 misaligned
c10 main 2 SMA phase-click-early10 aligned
c10 main 3 KPS aligned aligned
c10 main 4 ACL phase-click-early15 misaligned
c10 main 5 ACL aligned aligned
c10 main 6 ACL aligned aligned
c10 main 7 ACL phase-click-early10 misaligned
c10 main 8 HTH aligned aligned
c10 main 9 HTH aligned aligned
c10 main 10 KPS phase-click-early15 misaligned
c10 main 11 KPS phase-click-early10 misaligned
c10 main 12 ACL phase-click-late15 misaligned
c10 main 13 HTH aligned aligned
c10 main 14 ACL aligned aligned
c10 main 15 HSG aligned aligned
c10 main 16 KPS aligned aligned
c10 main 17 KPS aligned aligned
c10 main 18 SMA aligned misaligned
c10 main 19 HSG phase-click-late15 misaligned
c10 main 20 SMA aligned aligned
c10 main 21 HSG phase-click-early10 misaligned
c10 main 22 HTH phase-click-early15 misaligned
c10 main 23 HTH aligned aligned
c10 main 24 HSG phase-click-early15 misaligned
c10 main 25 KPS phase-click-late10 misaligned
c10 main 26 SMA phase-click-late10 misaligned
c10 main 27 ACL aligned aligned
c10 main 28 HSG aligned aligned
c10 main 29 SMA aligned aligned
c10 main 30 HSG phase-click-late10 misaligned
c10 main 31 HSG aligned aligned
c10 main 32 KPS aligned aligned
c10 main 33 HTH phase-click-late10 misaligned
c10 main 34 SMA phase-click-late15 misaligned
c10 main 35 ACL phase-click-late10 misaligned
